category,brand,model,product,price,source_key
MotherBoard,MSI,Z890,MSI PRO Z890-P WIFI,7990,motherboard_msi_pro_z890_p_wifi
MotherBoard,MSI,Z890,MSI PRO Z890-A WIFI,8490,motherboard_msi_pro_z890_a_wifi
MotherBoard,MSI,Z890,MSI Z890 GAMING PLUS WIFI,8990,motherboard_msi_z890_gaming_plus_wifi
MotherBoard,MSI,Z890,MSI MAG Z890 TOMAHAWK WIFI,9990,motherboard_msi_mag_z890_tomahawk_wifi
MotherBoard,MSI,Z890,MSI MPG Z890 EDGE TI WIFI,12490,motherboard_msi_mpg_z890_edge_ti_wifi
MotherBoard,MSI,Z890,MSI MPG Z890 CARBON WIFI,14690,motherboard_msi_mpg_z890_carbon_wifi
MotherBoard,MSI,Z890,MSI MEG Z890 UNIFY-X,17690,motherboard_msi_meg_z890_unify_x
MotherBoard,MSI,Z890,MSI MEG Z890 ACE,18990,motherboard_msi_meg_z890_ace
MotherBoard,MSI,Z890,MSI MEG Z890 GODLIKE,34900,motherboard_msi_meg_z890_godlike
MotherBoard,ASRock,Z890,ASRock Z890I Nova WiFi,11890,motherboard_asrock_z890i_nova_wifi
MotherBoard,ASRock,Z890,ASRock Z890M Riptide WiFi,7990,motherboard_asrock_z890m_riptide_wifi
MotherBoard,ASRock,Z890,ASRock Z890 Pro-A WiFi,5990,motherboard_asrock_z890_pro_a_wifi
MotherBoard,ASRock,Z890,ASRock Z890 Pro RS WiFi,6290,motherboard_asrock_z890_pro_rs_wifi
MotherBoard,ASRock,Z890,ASRock Z890 Pro RS WiFi White,6490,motherboard_asrock_z890_pro_rs_wifi_white
MotherBoard,ASRock,Z890,ASRock Z890 Steel Legend WiFi,6990,motherboard_asrock_z890_steel_legend_wifi
MotherBoard,ASRock,Z890,ASRock Z890 Nova WiFi,12990,motherboard_asrock_z890_nova_wifi
MotherBoard,ASRock,Z890,ASRock Z890 Taichi Lite,13990,motherboard_asrock_z890_taichi_lite
MotherBoard,ASRock,Z890,ASRock Z890 Taichi,14990,motherboard_asrock_z890_taichi
MotherBoard,ASUS,A520,ASUS PRIME A520M-K/CSM,2090,motherboard_asus_prime_a520m_k_csm
MotherBoard,GIGABYTE,A520,GIGABYTE A520M K V2,1990,motherboard_gigabyte_a520m_k_v2
MotherBoard,GIGABYTE,A520,GIGABYTE A520M H ARGB,1990,motherboard_gigabyte_a520m_h_argb
MotherBoard,MSI,A520,MSI A520M-A PRO,2090,motherboard_msi_a520m_a_pro
MotherBoard,ASRock,A520,ASRock A520M-ITX/ac,3390,motherboard_asrock_a520m_itx_ac
MotherBoard,ASRock,A520,ASRock A520M-HVS,1890,motherboard_asrock_a520m_hvs
MotherBoard,ASUS,B550,ASUS PRIME B550M-K ARGB-CSM,2690,motherboard_asus_prime_b550m_k_argb_csm
MotherBoard,ASUS,B550,ASUS PRIME B550M-K/CSM,2790,motherboard_asus_prime_b550m_k_csm
MotherBoard,ASUS,B550,ASUS PRIME B550M-A AC,2890,motherboard_asus_prime_b550m_a_ac
MotherBoard,ASUS,B550,ASUS TUF GAMING B550M-PLUS,3190,motherboard_asus_tuf_gaming_b550m_plus
MotherBoard,ASUS,B550,ASUS TUF GAMING B550M-PLUS WIFI II,3590,motherboard_asus_tuf_gaming_b550m_plus_wifi_ii
MotherBoard,GIGABYTE,B550,GIGABYTE B550M H ARGB,2490,motherboard_gigabyte_b550m_h_argb
MotherBoard,GIGABYTE,B550,GIGABYTE B550M K,2690,motherboard_gigabyte_b550m_k
MotherBoard,GIGABYTE,B550,GIGABYTE B550M GAMING X WIFI6,2990,motherboard_gigabyte_b550m_gaming_x_wifi6
MotherBoard,GIGABYTE,B550,GIGABYTE B550M AORUS ELITE,2990,motherboard_gigabyte_b550m_aorus_elite
MotherBoard,MSI,B550,MSI B550M-A PRO,2390,motherboard_msi_b550m_a_pro
MotherBoard,MSI,B550,MSI B550M PRO-VDH WIFI,3090,motherboard_msi_b550m_pro_vdh_wifi
MotherBoard,MSI,B550,MSI PRO B550M-B,3190,motherboard_msi_pro_b550m_b
MotherBoard,ASRock,B550,ASRock B550M-ITX/ac,3990,motherboard_asrock_b550m_itx_ac
MotherBoard,ASRock,A620,ASRock A620I Lightning WIFI,4790,motherboard_asrock_a620i_lightning_wifi
MotherBoard,ASRock,A620,ASRock A620AI WiFi,4790,motherboard_asrock_a620ai_wifi
MotherBoard,ASRock,A620,ASRock A620AM-HVS,2590,motherboard_asrock_a620am_hvs
MotherBoard,ASUS,B650E,ASUS ROG STRIX B650E-I GAMING WIFI,8990,motherboard_asus_rog_strix_b650e_i_gaming_wifi
MotherBoard,ASUS,B650,ASUS PRIME B650M-F-CSM,2990,motherboard_asus_prime_b650m_f_csm
MotherBoard,ASUS,B650,ASUS PRIME B650M-R-CSM,3090,motherboard_asus_prime_b650m_r_csm
MotherBoard,ASUS,B650,ASUS B650M-AYW WIFI,3990,motherboard_asus_b650m_ayw_wifi
MotherBoard,ASUS,B650,ASUS TUF GAMING B650M-E WIFI,3990,motherboard_asus_tuf_gaming_b650m_e_wifi
MotherBoard,ASUS,B650,ASUS TUF GAMING B650M-PLUS,4090,motherboard_asus_tuf_gaming_b650m_plus
MotherBoard,ASUS,B650,ASUS TUF GAMING B650M-PLUS WIFI,4790,motherboard_asus_tuf_gaming_b650m_plus_wifi
MotherBoard,ASUS,B650,ASUS TUF GAMING B650-E WIFI,4990,motherboard_asus_tuf_gaming_b650_e_wifi
MotherBoard,ASUS,B650,ASUS TUF GAMING B650-PLUS WIFI,5490,motherboard_asus_tuf_gaming_b650_plus_wifi
MotherBoard,ASUS,B650,ASUS ROG STRIX B650-A GAMING WIFI,5490,motherboard_asus_rog_strix_b650_a_gaming_wifi
MotherBoard,GIGABYTE,B650,GIGABYTE B650M H,2990,motherboard_gigabyte_b650m_h
MotherBoard,GIGABYTE,B650,GIGABYTE B650M GAMING WIFI,3490,motherboard_gigabyte_b650m_gaming_wifi
MotherBoard,GIGABYTE,B650,GIGABYTE B650M GAMING X AX,3790,motherboard_gigabyte_b650m_gaming_x_ax
